polygon_id,zip_code,proportion
1,23226,0.052967839
1,23229,5.7794E-05
2,23173,0.027065813
2,23226,0.022182873
2,23229,0.001664531
3,23173,0.003962454
3,23226,0.019906305
4,23226,0.066893595
5,23226,0.056652576
5,23230,0.003270158
6,23226,0.10648371
6,23229,0.00060883
7,23221,0.005741326
7,23226,0.045335925
7,23230,0.086438357
8,23221,0.066909545
8,23226,0.009106201
8,23230,0.023832259
9,23221,0.236948823
9,23226,0.003745933
14,23220,0.001090621
14,23221,0.109474811
14,23230,0.010098769
15,23221,0.014360882
16,23220,0.005366492
16,23221,0.08413489
17,23220,0.140272203
17,23221,0.042100848
18,23220,0.008410078
18,23221,0.004175293
19,23220,0.039937978
20,23220,0.035726888
21,23219,0.031245558
21,23220,0.086125285
24,23219,0.12764248
24,23220,0.084425112
24,23222,0.035084399
25,23225,0.016366473
26,23225,0.02779272
27,23225,0.009196222
28,23225,0.027994363
29,23224,0.038226338
29,23225,0.019464741
30,23225,0.019328543
31,23224,0.001298058
31,23225,0.007418196
33,23224,0.011063755
34,23224,0.045544984
35,23227,0.025337358
36,23227,0.028796688
37,23220,3.38342E-06
37,23227,0.036227947
38,23227,0.014037143
38,23230,0.000452872
39,23222,0.015124606
39,23227,0.024096271
40,23222,0.007408204
40,23227,0.004130928
41,23222,0.020333383
41,23227,0.003123807
42,23222,0.040831196
43,23220,0.01406107
43,23222,0.014255335
43,23227,0.008245479
44,23222,0.01138402
44,23227,0.001751133
45,23222,0.051040946
46,23222,0.012833242
47,23222,0.027150458
49,23222,0.045562772
52,23222,0.083310741
52,23223,0.000120968
53,23219,0.006138701
53,23222,0.003594489
53,23223,0.073009793
54,23223,0.052216717
54,23231,1.43719E-06
55,23223,0.001285009
55,23231,0.00360027
56,23231,0.003815363
57,23231,0.0028397
58,23231,0.001723437
59,44509,0.048703169
59,44515,0.000100349
60,44509,0.102673076
60,44515,2.91908E-06
61,44420,0.009376274
61,44505,0.015108183
61,44510,0.00234481
62,44504,0.46907085
62,44505,0.021056288
63,44504,0.24546545
63,44505,0.006668277
64,44502,0.000605418
64,44504,0.128794009
